NodeId:56,3	0.565274,0.514412,29,36,80,96,98
NodeId:73,3	0.567386,0.571981,41,50,51,84,92
NodeId:23,3	0.580675,0.555929,92,99
NodeId:89,3	0.585473,0.549121,16,32,35,38,40,57,58
NodeId:17,3	0.586941,0.575264,18,39,41,53,63,72,79,99
NodeId:42,3	0.592114,0.557175,36,45,70,89,99
NodeId:53,3	0.625815,0.609738,2,13,65,78,95
NodeId:81,3	0.631511,0.646522,5,21,26,78,93,96
NodeId:16,3	0.651260,0.659030,45,52,67,80
NodeId:11,3	0.652269,0.691965,6,28,40,49,51,67,89
NodeId:44,3	0.662015,0.676985,17,37,38
NodeId:77,3	0.669016,0.664315,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:82,3	0.679201,0.724788,2,23,24,32,52,53
NodeId:6,3	0.727023,0.729573,15,22,58,80
NodeId:55,3	0.730237,0.755106,10,19,22,25,51,58,62
NodeId:40,3	0.733205,0.771127,7,71,72,73
NodeId:54,3	0.734959,0.706120,12,69,77
NodeId:67,3	0.737489,0.702252,2,26,30,31,32,45
NodeId:85,3	0.749744,0.728590,32,54,57,64,69,90,99
NodeId:91,3	0.775516,0.850057,12,24,66,81,95
NodeId:61,3	0.779024,0.817088,6,9,18,20,99
NodeId:36,3	0.786041,0.824364,12,20,30,34,61,75,77,99
NodeId:0,3	0.790649,0.746114,1,15,66,96
NodeId:3,3	0.796797,0.800881,30,42,45,86
NodeId:4,3	0.798369,0.712282,24,42,46,86
NodeId:96,3	0.833968,0.844665,12,13,24,31,60,74
NodeId:57,3	0.846034,0.875053,86,94,96,98
NodeId:46,3	0.854904,0.852652,78
NodeId:50,3	0.868980,0.842257,0,20,46,68
NodeId:26,3	0.871315,0.863920,15,23,28,64
NodeId:25,3	0.881082,0.844039,63
NodeId:58,3	0.892221,0.936863,16,38,71,73,78
NodeId:52,3	0.896471,0.860302,27,31,64,91
NodeId:69,3	0.914102,0.992905,12,22,42,46,55,72,88
NodeId:19,3	0.918508,0.981293,27,33,37,45,92
NodeId:29,3	0.919649,0.849494,18,23,31,36,86
NodeId:30,3	0.928359,0.950406,80,84,95
NodeId:68,3	0.931837,0.930588,1,6,19,28,40,81,85
NodeId:13,3	0.937903,1.066400,25,32,33,35,76
NodeId:28,3	0.947870,0.936719,21,25,72
NodeId:10,3	0.961633,0.921589,4,6,38,67,78,80
NodeId:43,3	0.963506,0.955706,4,21,24,56,67,68,80,86,90
NodeId:76,3	0.966139,0.870233,9
NodeId:51,3	0.967391,0.950084,38,45,61,71
NodeId:90,3	0.968643,0.943702,1,26,52,93,96
NodeId:93,3	0.998131,0.995155,15,43,66,75
NodeId:34,3	0.999230,1.088757,0,7,77,78
NodeId:41,3	1.003887,1.083213,44,45,49,66
NodeId:79,3	1.034161,1.099253,0,26,43,74,90
NodeId:32,3	1.037439,1.040330,2,3,6,27,47,69,71,91
NodeId:2,3	1.051310,1.029860,31,63
