NodeId:6,4	0.721249,0.727023,15,22,58,80
NodeId:67,4	0.722691,0.737489,2,26,30,31,32,45
NodeId:40,4	0.757511,0.733205,7,71,72,73
NodeId:61,4	0.761596,0.779024,6,9,18,20,99
NodeId:0,4	0.766545,0.790649,1,15,66,96
NodeId:3,4	0.767035,0.796797,30,42,45,86
NodeId:4,4	0.779699,0.798369,24,42,46,86
NodeId:91,4	0.786900,0.775516,12,24,66,81,95
NodeId:36,4	0.797804,0.786041,12,20,30,34,61,75,77,99
NodeId:96,4	0.848025,0.833968,12,13,24,31,60,74
NodeId:46,4	0.850795,0.854904,78
NodeId:57,4	0.853800,0.846034,86,94,96,98
NodeId:25,4	0.855893,0.881082,63
NodeId:50,4	0.865353,0.868980,0,20,46,68
NodeId:52,4	0.874588,0.896471,27,31,64,91
NodeId:26,4	0.876898,0.871315,15,23,28,64
NodeId:30,4	0.904853,0.928359,80,84,95
NodeId:29,4	0.906269,0.919649,18,23,31,36,86
NodeId:58,4	0.908409,0.892221,16,38,71,73,78
NodeId:28,4	0.912642,0.947870,21,25,72
NodeId:69,4	0.917009,0.914102,12,22,42,46,55,72,88
NodeId:76,4	0.925019,0.966139,9
NodeId:19,4	0.929335,0.918508,27,33,37,45,92
NodeId:68,4	0.937104,0.931837,1,6,19,28,40,81,85
NodeId:10,4	0.939010,0.961633,4,6,38,67,78,80
NodeId:13,4	0.948423,0.937903,25,32,33,35,76
NodeId:43,4	0.948765,0.963506,4,21,24,56,67,68,80,86,90
NodeId:90,4	0.962201,0.968643,1,26,52,93,96
NodeId:51,4	0.964626,0.967391,38,45,61,71
NodeId:41,4	0.978413,1.003887,44,45,49,66
NodeId:34,4	1.010563,0.999230,0,7,77,78
NodeId:93,4	1.011693,0.998131,15,43,66,75
NodeId:79,4	1.020632,1.034161,0,26,43,74,90
NodeId:65,4	1.020705,1.053937,27,88
NodeId:32,4	1.022500,1.037439,2,3,6,27,47,69,71,91
NodeId:33,4	1.031984,1.071028,2,56,58,86
NodeId:7,4	1.033532,1.057428,12,21,38,57,93
NodeId:12,4	1.039367,1.053009,24,28,50,55,67,85,98
NodeId:64,4	1.051457,1.061636,3,27,28,31,33,39,78
NodeId:24,4	1.055253,1.079673,9,10,18,38,55,93,94
NodeId:62,4	1.060483,1.089843,11,22,33,91
NodeId:66,4	1.060500,1.089879,8,19,72,81,83,98
NodeId:2,4	1.069873,1.051310,31,63
NodeId:18,4	1.095838,1.102804,52,61,62,87
NodeId:22,4	1.097658,1.113018,25,65,72,83,97
NodeId:94,4	1.104629,1.119050,4,17,20,90
NodeId:84,4	1.113631,1.128156,9,21
NodeId:97,4	1.118040,1.110071,37,50,62,89
NodeId:98,4	1.171886,1.208032,5,13,15,28,49,66,92,94
NodeId:49,4	1.195691,1.248839,2,29,31,39,84
NodeId:39,4	1.206092,1.205683,31,43,68,71,92
NodeId:20,4	1.211511,1.212684,7,94
NodeId:38,4	1.213010,1.206559,30,41,98
NodeId:99,4	1.234223,1.210633,1,83
NodeId:80,4	1.235135,1.230596,31,79
NodeId:15,4	1.260602,1.270718,47,70,79,95,97
